date	txCount	price(USD)
2017-06-08	13606	28.38
2017-06-09	14219	30.19
2017-06-10	14880	29.68
2017-06-11	16975	30.5
2017-06-12	16046	33.23
2017-06-13	15540	29.49
2017-06-14	16893	30.74
2017-06-15	17072	30.22
2017-06-16	17421	30.28
2017-06-17	27528	36.18
2017-06-18	18565	47.44
2017-06-19	23393	46.16
2017-06-20	22471	50.41
2017-06-21	19453	47.3
2017-06-22	19403	47.72
2017-06-23	16713	47.75
2017-06-24	14472	47.25
2017-06-25	14998	44.49
2017-06-26	18802	44.04
2017-06-27	17785	41.13
2017-06-28	16077	40.82
2017-06-29	14234	42.83
2017-06-30	13569	41.04
2017-07-01	12068	40.4
2017-07-02	13600	38.95
2017-07-03	19840	41.48
2017-07-04	22723	46.56
2017-07-05	22501	55.27
2017-07-06	18221	53.2
2017-07-07	19363	51.1
2017-07-08	17123	46.64
2017-07-09	15017	52.36
2017-07-10	18445	49.91
2017-07-11	20525	46.27
2017-07-12	18478	45.26
2017-07-13	16756	48.72
2017-07-14	18712	46.36
2017-07-15	18159	42.81
2017-07-16	20230	38.92
2017-07-17	19427	41.19
2017-07-18	20873	42.62
2017-07-19	19058	44.35
2017-07-20	19610	40.96
2017-07-21	19278	45.07
2017-07-22	16352	45.77
2017-07-23	17133	46.63
2017-07-24	17043	44.16
2017-07-25	19513	44.48
2017-07-26	16598	42.29
2017-07-27	16271	42.35
2017-07-28	18711	42.22
2017-07-29	15458	40.56
2017-07-30	14256	41.18
2017-07-31	18436	40.34
2017-08-01	16693	43.02
2017-08-02	18365	43.07
2017-08-03	18659	42.19
2017-08-04	18595	42.89
2017-08-05	21275	43.49
2017-08-06	18828	46.84
2017-08-07	19102	45.17
2017-08-08	21047	45.9
2017-08-09	20641	48.59
2017-08-10	20216	48.05
2017-08-11	25842	46.4
2017-08-12	20097	47.05
2017-08-13	19976	46.57
2017-08-14	20104	45.83
2017-08-15	21660	45.81
2017-08-16	20056	43.37
2017-08-17	19879	44.18
2017-08-18	22554	43.9
2017-08-19	19537	47.05
2017-08-20	16429	45.38
2017-08-21	20001	46.19
2017-08-22	18246	47.9
2017-08-23	26066	46.71
2017-08-24	26375	52.82
2017-08-25	20531	50.17
2017-08-26	18880	51.17
2017-08-27	28107	51.8
2017-08-28	26564	61.36
2017-08-29	26515	62.39
2017-08-30	24919	63.16
2017-08-31	30563	64.16
2017-09-01	44067	70.86
2017-09-02	32475	85.83
2017-09-03	21931	78.98
2017-09-04	32986	76.73
2017-09-05	30852	65.25
2017-09-06	29107	71.78
2017-09-07	25690	79.88
2017-09-08	28624	78.45
2017-09-09	22738	67.21
2017-09-10	23481	65.8
2017-09-11	22840	61.65
2017-09-12	24390	66.24
2017-09-13	24893	64.32
2017-09-14	34548	61.64
2017-09-15	43144	41.69
2017-09-16	27542	48.13
2017-09-17	22012	48.23
2017-09-18	29051	48.53
2017-09-19	25992	55.68
2017-09-20	24168	52.74
2017-09-21	25888	51.66
2017-09-22	22860	46.65
